Date,Gibe-III,Koysha
2029-01-01,11750000000.0,0.0
2029-01-02,11748482816.0,1851552.0
2029-01-03,11746965632.0,3699648.0
2029-01-04,11745448448.0,5544288.0
2029-01-05,11743931696.0,7385904.0
2029-01-06,11742415376.0,9225792.0
2029-01-07,11740899056.0,11063088.0
2029-01-08,11739382736.0,12898656.0
2029-01-09,11737866416.0,14732496.0
2029-01-10,11736350096.0,16564608.0
2029-01-11,11734834640.0,18394992.0
2029-01-12,11733319184.0,20223648.0
2029-01-13,11731803728.0,22050576.0
2029-01-14,11730288272.0,23876640.0
2029-01-15,11728772816.0,25700976.0
2029-01-16,11727257792.0,27523584.0
2029-01-17,11725743200.0,29345328.0
2029-01-18,11724227744.0,31165344.0
2029-01-19,11722712288.0,32984064.0
2029-01-20,11721196832.0,34801488.0
2029-01-21,11719681376.0,36617616.0
2029-01-22,11718166784.0,38432448.0
2029-01-23,11716652192.0,40246416.0
2029-01-24,11715137600.0,42058656.0
2029-01-25,11713623008.0,43870032.0
2029-01-26,11712108416.0,45680112.0
2029-01-27,11710594256.0,47488896.0
2029-01-28,11709080528.0,49296816.0
2029-01-29,11707566800.0,51103440.0
2029-01-30,11706053072.0,52908768.0
2029-01-31,11704539344.0,54713232.0
2029-02-01,11703025616.0,56516400.0
2029-02-02,11700942944.0,58116960.0
2029-02-03,11698860704.0,59716656.0
2029-02-04,11696778464.0,61315488.0
2029-02-05,11694696224.0,62913024.0
2029-02-06,11692613984.0,64509696.0
2029-02-07,11690531744.0,66105504.0
2029-02-08,11688449504.0,67700448.0
2029-02-09,11686367264.0,69294096.0
2029-02-10,11684285456.0,70886880.0
2029-02-11,11682204080.0,72478800.0
2029-02-12,11680122704.0,74069856.0
2029-02-13,11678041328.0,75660048.0
2029-02-14,11675960816.0,77249376.0
2029-02-15,11673880304.0,78837840.0
2029-02-16,11671799792.0,80425440.0
2029-02-17,11669719280.0,82012176.0
2029-02-18,11667639632.0,83598048.0
2029-02-19,11665559120.0,85183056.0
2029-02-20,11663478608.0,86767200.0
2029-02-21,11661398096.0,88350480.0
2029-02-22,11659318448.0,89932896.0
2029-02-23,11657238800.0,91514448.0
2029-02-24,11655159152.0,93095136.0
2029-02-25,11653079504.0,94674960.0
2029-02-26,11651000720.0,96253920.0
2029-02-27,11648921936.0,97832016.0
2029-02-28,11646843152.0,99409248.0
2029-03-01,11644764368.0,100986048.0
2029-03-02,11640521696.0,102253536.0
2029-03-03,11636279888.0,103519728.0
2029-03-04,11632038944.0,104784624.0
2029-03-05,11627798864.0,106048224.0
2029-03-06,11623559648.0,107310960.0
2029-03-07,11619320864.0,108572400.0
2029-03-08,11615082512.0,109832544.0
2029-03-09,11610845024.0,111091824.0
2029-03-10,11606607968.0,112349808.0
2029-03-11,11602371776.0,113606496.0
2029-03-12,11598136448.0,114862320.0
2029-03-13,11593901984.0,116116848.0
2029-03-14,11589667520.0,117370512.0
2029-03-15,11585433920.0,118622880.0
2029-03-16,11581201184.0,119874384.0
2029-03-17,11576969312.0,121124592.0
2029-03-18,11572738304.0,122373504.0
2029-03-19,11568508160.0,123621552.0
2029-03-20,11564278448.0,124868304.0
2029-03-21,11560049168.0,126114192.0
2029-03-22,11555820320.0,127358784.0
2029-03-23,11551592336.0,128602512.0
2029-03-24,11547365216.0,129844944.0
2029-03-25,11543138960.0,131086512.0
2029-03-26,11538913568.0,132326784.0
2029-03-27,11534688176.0,133566192.0
2029-03-28,11530463648.0,134804304.0
2029-03-29,11526239984.0,136041552.0
2029-03-30,11522017184.0,137277504.0
2029-03-31,11517795248.0,138512592.0
2029-04-01,11513574176.0,139746816.0
2029-04-02,11508724976.0,141492960.0
2029-04-03,11503877504.0,143236944.0
2029-04-04,11499031760.0,144978336.0
2029-04-05,11494187744.0,146717136.0
2029-04-06,11489344592.0,148453776.0
2029-04-07,11484502304.0,150188256.0
2029-04-08,11479661744.0,151920144.0
2029-04-09,11474822480.0,153649440.0
2029-04-10,11469984512.0,155376576.0
2029-04-11,11465148272.0,157101552.0
2029-04-12,11460312896.0,158823936.0
2029-04-13,11455478816.0,160544160.0
2029-04-14,11450646032.0,162262224.0
2029-04-15,11445814976.0,163977696.0
2029-04-16,11440985648.0,165691008.0
2029-04-17,11436156752.0,167402160.0
2029-04-18,11431329152.0,169111152.0
2029-04-19,11426503280.0,170817984.0
2029-04-20,11421679136.0,172522224.0
2029-04-21,11416855856.0,174224304.0
2029-04-22,11412033872.0,175924224.0
2029-04-23,11407213184.0,177621984.0
2029-04-24,11402393792.0,179317584.0
2029-04-25,11397575696.0,181011024.0
2029-04-26,11392759328.0,182702304.0
2029-04-27,11387944256.0,184391424.0
2029-04-28,11383130048.0,186078384.0
2029-04-29,11378317136.0,187763184.0
2029-04-30,11373505952.0,189445824.0
2029-05-01,11368696496.0,191126304.0
2029-05-02,11365766672.0,193781376.0
2029-05-03,11362838144.0,196432992.0
2029-05-04,11359910480.0,199081152.0
2029-05-05,11356982816.0,201725856.0
2029-05-06,11354056448.0,204366240.0
2029-05-07,11351130512.0,207003168.0
2029-05-08,11348205440.0,209636640.0
2029-05-09,11345281232.0,212266656.0
2029-05-10,11342357456.0,214893216.0
