Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2030-01-01,28.75,53.61,21.44,15.01,20.73,50.0,13.92,57.5,28.75,43.76
2030-01-02,28.75,53.61,21.44,15.01,20.73,50.0,13.92,57.5,28.75,43.76
2030-01-03,28.75,53.61,21.44,15.01,20.73,50.0,13.92,57.5,28.75,43.76
2030-01-04,28.75,53.61,21.44,15.01,20.72,50.0,13.92,57.5,28.75,43.76
2030-01-05,29.0,53.61,21.44,15.01,20.72,50.0,13.92,58.0,29.0,44.01
2030-01-06,28.75,53.61,21.44,15.01,20.72,50.0,13.92,57.5,28.75,43.76
2030-01-07,28.75,53.61,21.44,15.01,20.72,50.0,13.92,57.5,28.75,43.76
2030-01-08,28.75,53.61,21.44,15.01,20.72,50.0,13.92,57.5,28.75,43.76
2030-01-09,28.75,53.61,21.44,15.01,20.72,50.0,13.92,57.5,28.75,43.76
2030-01-10,28.75,53.61,21.44,15.01,20.71,50.0,13.92,57.5,28.75,43.76
2030-01-11,28.75,53.61,21.44,15.01,20.71,50.0,13.92,57.5,28.75,43.76
2030-01-12,28.75,53.61,21.44,15.01,20.71,50.0,13.92,57.5,28.75,43.76
2030-01-13,28.75,53.61,21.44,15.01,20.71,50.0,13.92,57.5,28.75,43.76
2030-01-14,28.75,53.61,21.44,15.01,20.71,50.0,13.92,57.5,28.75,43.76
2030-01-15,28.75,53.61,21.44,15.01,20.705,50.0,13.92,57.5,28.75,43.76
2030-01-16,28.75,53.61,21.44,15.01,20.7,50.0,13.92,57.5,28.75,43.76
2030-01-17,28.75,53.61,21.44,15.01,20.7,50.0,13.92,57.5,28.75,43.76
2030-01-18,28.75,53.61,21.44,15.01,20.7,50.0,13.92,57.5,28.75,43.76
2030-01-19,28.75,53.61,21.44,15.01,20.7,50.0,13.92,57.5,28.75,43.76
2030-01-20,28.75,53.61,21.44,15.01,20.7,50.0,13.92,57.5,28.75,43.76
2030-01-21,28.75,53.61,21.44,15.01,20.69,50.0,13.92,57.5,28.75,43.76
2030-01-22,28.75,53.61,21.44,15.01,20.69,50.0,13.92,57.5,28.75,43.76
2030-01-23,28.75,53.61,21.44,15.01,20.69,50.0,13.92,57.5,28.75,43.76
2030-01-24,28.75,53.61,21.44,15.01,20.69,50.0,13.92,57.5,28.75,43.76
2030-01-25,28.75,53.61,21.44,15.01,20.69,50.0,13.92,57.5,28.75,43.76
2030-01-26,28.75,53.61,21.44,15.01,20.685000000000002,50.0,13.92,57.5,28.75,43.76
2030-01-27,28.75,53.61,21.44,15.01,20.68,50.0,13.92,57.5,28.75,43.76
2030-01-28,28.75,53.61,21.44,15.01,20.68,50.0,13.92,57.5,28.75,43.76
2030-01-29,28.75,53.61,21.44,15.01,20.68,50.0,13.92,57.5,28.75,43.76
2030-01-30,29.0,53.61,21.44,15.01,20.68,50.0,13.92,58.0,29.0,44.01
2030-01-31,28.75,53.61,21.44,15.01,20.68,50.0,13.92,57.5,28.75,43.76
2030-02-01,27.25,47.81,19.12,13.39,21.165,50.0,14.25,54.5,27.25,40.64
2030-02-02,27.25,47.81,19.12,13.39,21.16,50.0,14.25,54.5,27.25,40.64
2030-02-03,27.5,47.81,19.12,13.39,21.16,50.0,14.25,55.0,27.5,40.89
2030-02-04,27.5,47.81,19.12,13.39,21.16,50.0,14.25,55.0,27.5,40.89
2030-02-05,27.5,47.81,19.12,13.39,21.155,50.0,14.25,55.0,27.5,40.89
2030-02-06,27.25,47.81,19.12,13.39,21.15,50.0,14.25,54.5,27.25,40.64
2030-02-07,27.5,47.81,19.12,13.39,21.15,50.0,14.25,55.0,27.5,40.89
2030-02-08,27.5,47.81,19.12,13.39,21.15,50.0,14.25,55.0,27.5,40.89
2030-02-09,27.5,47.81,19.12,13.39,21.145,50.0,14.25,55.0,27.5,40.89
2030-02-10,27.25,47.81,19.12,13.39,21.14,50.0,14.25,54.5,27.25,40.64
2030-02-11,27.5,47.81,19.12,13.39,21.14,50.0,14.25,55.0,27.5,40.89
2030-02-12,27.5,47.81,19.12,13.39,21.14,50.0,14.25,55.0,27.5,40.89
2030-02-13,27.5,47.81,19.12,13.39,21.134999999999998,50.0,14.25,55.0,27.5,40.89
2030-02-14,27.25,47.81,19.12,13.39,21.13,50.0,14.25,54.5,27.25,40.64
2030-02-15,27.5,47.81,19.12,13.39,21.13,50.0,14.25,55.0,27.5,40.89
2030-02-16,27.5,47.81,19.12,13.39,21.13,50.0,14.25,55.0,27.5,40.89
2030-02-17,27.25,47.81,19.12,13.39,21.125,50.0,14.25,54.5,27.25,40.64
2030-02-18,27.5,47.81,19.12,13.39,21.12,50.0,14.25,55.0,27.5,40.89
2030-02-19,27.5,47.81,19.12,13.39,21.12,50.0,14.25,55.0,27.5,40.89
2030-02-20,27.5,47.81,19.12,13.39,21.12,50.0,14.25,55.0,27.5,40.89
2030-02-21,27.25,47.81,19.12,13.39,21.115000000000002,50.0,14.25,54.5,27.25,40.64
2030-02-22,27.5,47.81,19.12,13.39,21.11,50.0,14.25,55.0,27.5,40.89
2030-02-23,27.5,47.81,19.12,13.39,21.11,50.0,14.25,55.0,27.5,40.89
2030-02-24,27.5,47.81,19.12,13.39,21.11,50.0,14.25,55.0,27.5,40.89
2030-02-25,27.25,47.81,19.12,13.39,21.105,50.0,14.25,54.5,27.25,40.64
2030-02-26,27.5,47.81,19.12,13.39,21.1,50.0,14.25,55.0,27.5,40.89
2030-02-27,27.5,47.81,19.12,13.39,21.1,50.0,14.25,55.0,27.5,40.89
2030-02-28,27.5,47.81,19.12,13.39,21.1,50.0,14.25,55.0,27.5,40.89
2030-03-01,25.0,40.7,16.28,11.4,38.555,50.0,26.04,50.0,25.0,36.4
2030-03-02,25.0,40.7,16.28,11.4,38.545,50.0,26.04,50.0,25.0,36.4
2030-03-03,25.0,40.7,16.28,11.4,38.535,50.0,26.04,50.0,25.0,36.4
2030-03-04,25.0,40.7,16.28,11.4,38.525000000000006,50.0,26.04,50.0,25.0,36.4
2030-03-05,25.0,40.7,16.28,11.4,38.515,50.0,26.03,50.0,25.0,36.4
2030-03-06,25.0,40.7,16.28,11.4,38.504999999999995,50.0,26.03,50.0,25.0,36.4
2030-03-07,25.0,40.7,16.28,11.4,38.5,50.0,26.03,50.0,25.0,36.4
2030-03-08,25.0,40.7,16.28,11.4,38.49,50.0,26.03,50.0,25.0,36.4
